top - 09:29:23 up 1 day,  2:08,  4 users,  load average: 1.07, 0.68, 0.50
Tasks: 338 total,   1 running, 337 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.1 us, 15.6 sy,  0.0 ni, 78.1 id,  3.1 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3354.4 total,    423.8 free,   2329.1 used,    615.8 buff/cache     
MiB Swap:   3530.0 total,   2929.8 free,    600.2 used.   1025.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker+
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    158 root       0 -20       0      0      0 I   0.0   0.0   0:00.76 kworker+
    178 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    180 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    182 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    183 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    184 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    187 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    188 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    190 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    196 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    205 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    210 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    211 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    219 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    220 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    221 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    223 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    224 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    225 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    227 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    229 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    230 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    231 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    232 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    233 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    234 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    235 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    237 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    238 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    239 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    240 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    241 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    242 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    243 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    244 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    245 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    246 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    247 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    249 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    250 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    251 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    252 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    253 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    254 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    255 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    256 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    325 root      20   0       0      0      0 S   0.0   0.0   0:09.91 jbd2/sd+
    326 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    383 root      19  -1   67728  18756  17860 S   0.0   0.5   0:14.17 systemd+
    403 systemd+  20   0   18272   7116   6860 S   0.0   0.2   0:33.37 systemd+
    449 systemd+  20   0   23448  11116  10220 S   0.0   0.3   0:04.38 systemd+
    450 systemd+  20   0   91628   7456   7200 S   0.0   0.2   0:01.12 systemd+
    458 root      20   0   40996  10216   7400 S   0.0   0.3   0:07.83 systemd+
    460 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    748 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    751 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    752 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    795 root     -51   0       0      0      0 S   0.0   0.0   0:08.94 irq/16-+
    799 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    876 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1225 avahi     20   0    6796   4156   3900 S   0.0   0.1   0:02.73 avahi-d+
   1226 message+  20   0   12072   6908   4348 S   0.0   0.2   0:09.78 dbus-da+
   1230 gnome-r+  20   0  521460  11592  11464 S   0.0   0.3   0:00.06 gnome-r+
   1233 polkitd   20   0  389768  11232   7956 S   0.0   0.3   0:06.97 polkitd
   1253 root      20   0  312852   7580   7068 S   0.0   0.2   0:04.98 account+
   1260 root      20   0   10108   2832   2704 S   0.0   0.1   0:02.33 cron
   1261 root      20   0  311112   6580   6324 S   0.0   0.2   0:00.40 switche+
   1268 root      20   0   18948   8600   8088 S   0.0   0.3   0:02.02 systemd+
   1269 root      20   0  471060  10892   9612 S   0.0   0.3   0:32.25 udisksd
   1280 syslog    20   0  220732   4472   3832 S   0.0   0.1   0:01.85 rsyslogd
   1301 avahi     20   0    6608   1272   1144 S   0.0   0.0   0:00.00 avahi-d+
   1326 root      20   0   18416   4064   3936 S   0.0   0.1   0:01.72 wpa_sup+
   1378 root      20   0  391388   7272   6760 S   0.0   0.2   0:00.61 ModemMa+
   1542 root      20   0  123968   9852   9800 S   0.0   0.3   0:00.17 unatten+
   1669 root      20   0  414124  12888  11480 S   0.0   0.4   0:09.41 Network+
   1854 root      20   0  313448   8368   7856 S   0.0   0.2   0:00.36 gdm3
   1859 root      20   0  388800  10096   9200 S   0.0   0.3   0:00.53 gdm-ses+
   1867 sysadmin  20   0   23800  12692  10132 S   0.0   0.4   0:09.59 systemd
   1868 sysadmin  20   0   22480   1832   1760 S   0.0   0.1   0:00.00 (sd-pam)
   1882 sysadmin  20   0    7776   3516   3388 S   0.0   0.1   0:00.08 mpris-p+
   1883 sysadmin  20   0  171576   8444   6620 S   0.0   0.2   0:09.95 pipewire
   1884 sysadmin  20   0   88096   4220   4092 S   0.0   0.1   0:00.02 pipewire
   1885 sysadmin  20   0  483184  12776  10344 S   0.0   0.4   0:01.42 wireplu+
   1886 sysadmin  20   0  185936  10860   8612 S   0.0   0.3   0:01.23 pipewir+
   1888 sysadmin  20   0   10648   6752   4448 S   0.0   0.2   0:06.67 dbus-da+
   1890 sysadmin  20   0  186496   8500   7860 S   0.0   0.2   0:00.48 gnome-k+
   1897 rtkit     21   1   87396   3208   3080 S   0.0   0.1   0:03.14 rtkit-d+
   1914 sysadmin  20   0  170880   6112   5856 S   0.0   0.2   0:00.03 gdm-way+
   1921 sysadmin  20   0  198716  12008  11880 S   0.0   0.3   0:00.04 gnome-s+
   1970 sysadmin  20   0   97716   6372   6244 S   0.0   0.2   0:00.00 gcr-ssh+
   1971 sysadmin  20   0   90120   4976   4848 S   0.0   0.1   0:00.00 gnome-s+
   1985 sysadmin  20   0  315596   7520   7008 S   0.0   0.2   0:00.20 gvfsd
   1993 sysadmin  20   0  394956   7012   6628 S   0.0   0.2   0:00.03 gvfsd-f+
   2016 sysadmin  20   0  830612  14172  12892 S   0.0   0.4   0:00.83 gnome-s+
   2043 sysadmin  20   0 3906736 240516 106124 S   0.0   7.0  18:04.78 gnome-s+
   2044 sysadmin  20   0  381472   7372   7116 S   0.0   0.2   0:00.14 at-spi-+
   2056 sysadmin  20   0    8884   4832   4320 S   0.0   0.1   0:00.11 dbus-da+
   2081 sysadmin  20   0  169120   7008   6624 S   0.0   0.2   0:00.07 at-spi2+
   2082 colord    20   0  319348   8428   8316 S   0.0   0.2   0:00.46 colord
   2134 sysadmin  20   0  310048   6324   6068 S   0.0   0.2   0:00.09 xdg-per+
   2136 sysadmin  20   0  660224  12640  11396 S   0.0   0.4   0:00.46 gnome-s+
   2164 sysadmin  20   0 1224064  16508  15612 S   0.0   0.5   0:00.61 evoluti+
   2170 sysadmin  20   0  165416   6088   5704 S   0.0   0.2   0:00.21 dconf-s+
   2188 sysadmin  20   0  522884  17192  16680 S   0.0   0.5   0:00.18 goa-dae+
   2190 root      20   0  321756   8528   7888 S   0.0   0.2   0:00.95 upowerd
   2193 sysadmin  20   0 2733636  25448  22712 S   0.0   0.7   0:00.45 gjs
   2200 sysadmin  20   0  388368   9220   7324 S   0.0   0.3   0:17.44 ibus-da+
   2202 sysadmin  20   0  245048   7064   6552 S   0.0   0.2   0:00.08 gsd-a11+
   2203 sysadmin  20   0  413972  17984  17216 S   0.0   0.5   0:01.26 gsd-col+
   2204 sysadmin  20   0  257028   8540   8028 S   0.0   0.2   0:00.08 gsd-dat+
   2205 sysadmin  20   0  386300   8528   7760 S   0.0   0.2   0:03.48 gsd-hou+
   2206 sysadmin  20   0  412444  17908  17140 S   0.0   0.5   0:00.22 gsd-key+
   2207 sysadmin  20   0  581228  20228  19076 S   0.0   0.6   0:00.55 gsd-med+
   2208 sysadmin  20   0  489624  19620  18468 S   0.0   0.6   0:00.46 gsd-pow+
   2209 sysadmin  20   0  323548   9044   8404 S   0.0   0.3   0:00.25 gsd-pri+
   2219 sysadmin  20   0  458268   6964   6452 S   0.0   0.2   0:00.14 gsd-rfk+
   2220 sysadmin  20   0  310352   6532   6148 S   0.0   0.2   0:00.08 gsd-scr+
   2221 sysadmin  20   0  469048   9016   8248 S   0.0   0.3   0:00.39 gsd-sha+
   2222 sysadmin  20   0  386760   7480   6968 S   0.0   0.2   0:00.10 gsd-sma+
   2223 sysadmin  20   0  257512   8320   7808 S   0.0   0.2   0:00.09 gsd-sou+
   2228 sysadmin  20   0  306564   6944   6176 S   0.0   0.2   0:00.27 gsd-dis+
   2230 sysadmin  20   0  414068  18408  17256 S   0.0   0.5   0:00.27 gsd-wac+
   2235 sysadmin  20   0  840296  33716  28980 S   0.0   1.0   0:01.71 evoluti+
   2315 sysadmin  20   0 1174136  13096  11816 S   0.0   0.4   0:00.81 evoluti+
   2383 sysadmin  20   0  390648   8100   7716 S   0.0   0.2   0:00.27 goa-ide+
   2384 sysadmin  20   0  463788  10212   8932 S   0.0   0.3   0:01.01 gvfs-ud+
   2422 sysadmin  20   0  417768  11844  11204 S   0.0   0.3   0:00.16 gsd-pri+
   2429 sysadmin  20   0  828036  15820  15052 S   0.0   0.5   0:00.37 evoluti+
   2440 sysadmin  20   0  171676   6668   6284 S   0.0   0.2   0:00.09 gvfsd-m+
   2442 sysadmin  20   0  310520   6344   5960 S   0.0   0.2   0:00.12 gvfs-go+
   2455 sysadmin  20   0  311644   6756   6372 S   0.0   0.2   0:00.18 gvfs-gp+
   2464 sysadmin  20   0  310668   6928   6416 S   0.0   0.2   0:00.16 gvfs-mt+
   2469 sysadmin  20   0  392508   7908   7396 S   0.0   0.2   0:16.22 gvfs-af+
   2481 sysadmin  20   0  245720   7504   7120 S   0.0   0.2   0:00.03 ibus-dc+
   2482 sysadmin  20   0  424180  20212  18480 S   0.0   0.6   0:06.32 ibus-ex+
   2488 sysadmin  20   0  311220   7436   7052 S   0.0   0.2   0:00.13 ibus-po+
   2512 sysadmin  20   0  172024   7548   7036 S   0.0   0.2   0:05.90 ibus-en+
   2550 sysadmin  20   0  537176   9000   7848 S   0.0   0.3   0:00.42 gvfsd-t+
   2596 sysadmin  39  19  818632  21928  15328 S   0.0   0.6   0:03.66 localse+
   2607 sysadmin  20   0 2668084  25396  22808 S   0.0   0.7   0:00.52 gjs
   2648 sysadmin  20   0  683900   7072   6560 S   0.0   0.2   0:00.23 xdg-doc+
   2660 root      20   0    2772   2024   2024 S   0.0   0.1   0:00.00 fusermo+
   2704 sysadmin  20   0  706220  13980  12188 S   0.0   0.4   0:06.42 xdg-des+
   2725 sysadmin  20   0  752484  25564  23556 S   0.0   0.7   0:01.06 xdg-des+
   2736 root      20   0  312252   6764   6636 S   0.0   0.2   0:00.06 ubuntu-+
   2883 sysadmin  20   0  418408  21384  19464 S   0.0   0.6   0:00.51 xdg-des+
   3082 root      20   0  312488   6828   6444 S   0.0   0.2   0:00.22 power-p+
   3128 sysadmin  20   0  237312  39300  38148 S   0.0   1.1   0:01.00 Xwayland
   3133 sysadmin  20   0  479940  44912  43560 S   0.0   1.3   0:00.61 gsd-xse+
   3141 sysadmin  20   0  727592  50280  48896 S   0.0   1.5   0:00.74 mutter-+
   3164 sysadmin  20   0  179404  11540  11156 S   0.0   0.3   0:00.08 ibus-x11
   3188 sysadmin  20   0  643376  28420  25476 S   0.0   0.8   0:07.73 update-+
   3307 sysadmin  20   0  659252  51132  39112 S   0.0   1.5   0:43.35 gnome-t+
   3315 sysadmin  20   0   12000   3668   3540 S   0.0   0.1   0:00.36 bash
   3610 sysadmin  20   0  514120  22124  21272 S   0.0   0.6   0:00.58 seahorse
   3991 root      20   0  487676  16996  12932 S   0.0   0.5   0:28.57 fwupd
   5080 root      20   0 1997612  17780   5960 S   0.0   0.5   2:30.35 snapd
   8697 root       0 -20       0      0      0 I   0.0   0.0   0:02.86 kworker+
  10528 sysadmin  20   0   39136   4980   4852 S   0.0   0.1   0:00.82 snapd-d+
  10675 sysadmin  20   0  429592  10276   9616 S   0.0   0.3   0:01.29 snapd-d+
  11414 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  12037 root       0 -20       0      0      0 I   0.0   0.0   0:02.46 kworker+
  19570 sysadmin  20   0 1481896 114304  72920 S   0.0   3.3   0:05.46 nautilus
  19601 sysadmin  20   0  315836   8780   7756 S   0.0   0.3   0:00.07 gvfsd-r+
  19602 sysadmin  20   0  389804   9064   8040 S   0.0   0.3   0:00.08 gvfsd-n+
  19619 sysadmin  20   0  391188   9048   8024 S   0.0   0.3   0:00.07 gvfsd-d+
  19625 sysadmin  20   0  463084   8408   7512 S   0.0   0.2   0:00.80 gvfsd-w+
  19630 sysadmin  20   0   44436  12236   7628 S   0.0   0.4   0:01.32 python3
  19647 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19677 root      20   0   13388   5520   5080 S   0.0   0.2   0:00.19 su
  19680 dev-emi   20   0   23324  11940  10020 S   0.0   0.3   0:01.53 systemd
  19682 dev-emi   20   0   22476   1824   1756 S   0.0   0.1   0:00.00 (sd-pam)
  19696 dev-emi   20   0   12296   4128   3616 S   0.0   0.1   0:00.36 bash
  19697 dev-emi   20   0    7776   3572   3444 S   0.0   0.1   0:00.01 mpris-p+
  19698 dev-emi   20   0   99296   6068   5940 S   0.0   0.2   0:00.11 pipewire
  19700 dev-emi   20   0   87692   4628   4500 S   0.0   0.1   0:00.02 pipewire
  19708 dev-emi   20   0  401924  10396  10140 S   0.0   0.3   0:00.22 wireplu+
  19709 dev-emi   20   0  108572   7532   7404 S   0.0   0.2   0:00.06 pipewir+
  19710 dev-emi   20   0    8788   4708   4580 S   0.0   0.1   0:00.05 dbus-da+
  19774 dev-emi   20   0  610168   6788   6660 S   0.0   0.2   0:00.06 xdg-doc+
  19778 dev-emi   20   0  310048   6200   6072 S   0.0   0.2   0:00.01 xdg-per+
  19785 root      20   0    2772   2120   2120 S   0.0   0.1   0:00.01 fusermo+
  19931 sysadmin  20   0   11.5g 397616 108268 S   0.0  11.6  10:29.63 firefox
  20078 sysadmin  20   0   21124   1460   1296 S   0.0   0.0   0:00.00 crashhe+
  20150 sysadmin  20   0  232840  32664  31384 S   0.0   1.0   0:04.21 Socket +
  20173 sysadmin  20   0  299084  21968  17104 S   0.0   0.6   0:00.20 forkser+
  20190 sysadmin  20   0 2461820  67168  49984 S   0.0   2.0   0:02.91 WebExte+
  20200 sysadmin  20   0  481668  40972  35156 S   0.0   1.2   0:00.92 RDD Pro+
  20231 sysadmin  20   0 2553216 123528  60988 S   0.0   3.6   0:41.93 Privile+
  20266 sysadmin  20   0 1765816  21844  16228 S   0.0   0.6   0:01.58 snap
  20743 sysadmin  20   0  448556  35016  28588 S   0.0   1.0   0:00.40 Utility+
  20765 sysadmin  20   0 2690872 183612  63564 S   0.0   5.3   1:42.48 Isolate+
  21429 sysadmin  20   0 1236520 130184  72388 S   0.0   3.8   0:11.04 gnome-t+
  22476 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
  22930 sysadmin  20   0 3454100 775012  71440 S   0.0  22.6  15:23.24 Isolate+
  22949 sysadmin  20   0 2422468  48372  42456 S   0.0   1.4   0:03.51 Web Con+
  22985 sysadmin  20   0 2422468  48824  42392 S   0.0   1.4   0:03.45 Web Con+
  23010 sysadmin  20   0 2422468  48312  42392 S   0.0   1.4   0:03.65 Web Con+
  23225 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  23659 root      20   0   13348   5132   5004 S   0.0   0.1   0:00.06 su
  23662 sysadmin  20   0   12296   4928   4160 S   0.0   0.1   0:00.28 bash
  23909 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  24751 root      20   0       0      0      0 I   0.0   0.0   0:01.03 kworker+
  25006 root      20   0       0      0      0 I   0.0   0.0   0:00.98 kworker+
  25473 root      20   0       0      0      0 I   0.0   0.0   0:01.94 kworker+
  25767 root      20   0   32612   9584   7664 S   0.0   0.3   0:00.07 cupsd
  25778 cups-br+  20   0  209372  17260  14188 S   0.0   0.5   0:00.17 cups-br+
  26574 root      20   0       0      0      0 I   0.0   0.0   0:00.45 kworker+
  26599 root      20   0       0      0      0 I   0.0   0.0   0:00.52 kworker+
  26612 root      20   0       0      0      0 I   0.0   0.0   0:02.91 kworker+
  26689 root      20   0       0      0      0 I   0.0   0.0   0:00.60 kworker+
  26718 root      20   0       0      0      0 I   0.0   0.0   0:00.34 kworker+
  26969 root      20   0       0      0      0 I   0.0   0.0   0:02.37 kworker+
  27005 sysadmin  20   0 2923576  62560  48640 S   0.0   1.8   0:01.42 gjs
  27074 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  27136 root      20   0       0      0      0 I   0.0   0.0   0:00.63 kworker+
  27139 root      20   0   13380   5816   5052 S   0.0   0.2   0:00.10 su
  27140 dev-emi   20   0   12296   6576   4272 S   0.0   0.2   0:00.11 bash
  27334 root      20   0   13324   5856   5088 S   0.0   0.2   0:00.24 su
